takeoff_name,site_guide_url
Cwmbran,
Cyrniau,
Dale Head,https://derbyshiresoaringclub.org.uk/site-guide/dale-head/
Dalefoot,
Dalwhinnie,
Devils Dyke,https://shgc.org.uk/siteguidepdf
Devonshaw Hill,
Ditchling,https://shgc.org.uk/siteguidepdf
Dodd Fell,https://www.dhpc.org.uk/site-guide/dodd-fell-grove-head
Dollar,
Dragons Tail (Y Crib),
Drumochter,
Dungavel,
Dungiven,
Dunstable,https://dunstablehpc.com/site-guides/dunstable-downs-site-guide/
Durdle Door,
East Hill,
Ebbw Vale,
Ecton,
Edenfield,http://www.penninesoaringclub.org.uk/sites/edenfield/
Edge Top,
Eildon N Hill,https://www.wingbeat-paragliding.co.uk/index.php/sites/eildons
Elan Valley,
Elidir Fach,https://www.snowdoniaskysports.co.uk/cms/node/8
Ellerside,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=ELS
Ennerdale,
Eyam,https://derbyshiresoaringclub.org.uk/site-guide/eyam-edge
Eype,
Fab Frynach,
Fairsnape,http://www.penninesoaringclub.org.uk/sites/parlick/
Fan Brycheiniog,
Fan Gyhirych,
Farleton,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=FKT
Fast Heugh,http://www.wingbeat-paragliding.co.uk/index.php/sites/fastheugh
Feshiebridge,
Ffarmers,
Fforest Farm,
Firle,https://shgc.org.uk/siteguidepdf
Fleetwith Pike,
Fochriw,
Foel Fadian,
Foel Lus,https://www.snowdoniaskysports.co.uk/cms/node/22
Foreman Hill,
Freathy,
Fremington,https://www.dhpc.org.uk/site-guide/fremington-edge
Friar Waddon,
Frocester,http://www.avonhgpg.co.uk/sites/sites.php
Fuar Mhonadh,
Gallt Yr Ogof,
Gam Rhiw,
Gargunnock,
Gargunnock Hills,
Garret,
Garway,
Glas Bheinn,
Glen Clova,
Glen Docherty View Point,
Glen Ogle,
Glen Strathfarrar,
Glencoe,
Glyder,https://www.snowdoniaskysports.co.uk/cms/node/11
Golden Ball,https://www.tvhgc.co.uk/golden-ball
Gorllwyn,
Graig Fawr,
Grange Farm,
Great Coum,
Great Whernside,https://www.dhpc.org.uk/site-guide/great-whernside
Green Bell,
Green How,
Greenhill,
Gregareth,
Grey Mares Tail,
Gummers How,
Gyrn Moelfre,
Haig,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=HGP
Hambledon,
Haresfield,http://www.avonhgpg.co.uk/sites/sites.php
Harting,http://skysurfingclub.co.uk/sites-guide/
Haughmond Hill,
Hay Bluff,https://www.flysouthwales.co.uk/site-guides
Heol Senni,
Herne Bay,https://www.dfhgc.org/sites/herne-bay
Heron Pike,
High And Over,https://www.shgc.org.uk/highandover
High Cap,
High Street,
High Wheeldon,
Hill Farm,
Hill Of Noth,
Hive,
Hogden Law,
Honister,
Horden,
Hornsea,
Hownam,
Humbleton Hill,
Hundred House,
Ill Bell,
Ingleborough,
Jenkin,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=JKH
Johnny Barnes,
Kerloch,
Kettle Sings,http://www.joomla.malvern-hang.org.uk/index.php/pinnacle-meniu
Kilnsey,https://www.dhpc.org.uk/site-guide/kilnsey
Kimmeridge,
King's Seat,
King Tor,https://sdhgpc.org.uk/sites/king-tor
Kintail,
Knitson,
Knock Hill,
Knock Of Formal,
Labrador Bay,
Laggan,
Langdales,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=GLG
Langholm,
Latrigg,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=LTR
Lawley,
Lcc_4june2011,
Leavesleys Hill,
Leckhampton,http://www.joomla.malvern-hang.org.uk/index.php/leckhampton
Liddington,https://www.tvhgc.co.uk/liddington
Little London,
Little Mell Fell,
Little Wyvis,
Llandewi Brefi,
Llandinam,
Llangollen,
Llangorse,
Llantysilio,
Loadpot Hill,
Lobden,
Lochcraig Head,http://www.wingbeat-paragliding.co.uk/index.php/sites/lochcraig-head
Lochearnhead,
Lochindorb,
Lochlyock,
Long Knoll,http://www.avonhgpg.co.uk/sites/sites.php
Long Mountain,
Long Mynd,http://www.longmynd.org/?page_id=284
Longridge,http://www.penninesoaringclub.org.uk/sites/longridge/
Longstone,
Lords Seat,https://derbyshiresoaringclub.org.uk/site-guide/lords-seat
Lowca,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=LCA
Lowther,
Luccombe,
Lumsden Law,
Magic Mountain,
Maiden Castle,
Mallerstang,
Malvern,
Malvern Kettle Sings,
Mam Tor,https://derbyshiresoaringclub.org.uk/site-guide/mam-tor-nw
Mappleton,
Marros,
Marske,
Mauld,
Meall A Bhuachaille,
Meall A Chaorainn,
Meall An T-Seallaidh,
Meall Bhanbhaid,
Meall Donn,
Meall Leacachain,
Meall Monachyle,
Meall Nan Bradan Leathan,
Melmerby Low Scar,
Mendlesham,
Menstrie,
Mercury,http://skysurfingclub.co.uk/sites-guide/
Mere,http://www.avonhgpg.co.uk/sites/sites.php
Merthyr,
Milk Hill White Horse,https://www.tvhgc.co.uk/milk-hill-white-horse
Milk Massif,https://www.tvhgc.co.uk/milk-hill
Milk Massif East,
Millington,
Minster,https://www.dfhgc.org/sites/minster
Model,
Model Ridge,
Moel Accre,
Moel Berfedd,https://www.snowdoniaskysports.co.uk/cms/node/10
Moel Eilio,https://www.snowdoniaskysports.co.uk/cms/node/5
Moel Famau,
Moneylaws,
Monksdown,http://www.wessexhgpg.org.uk/Sites/SiteGuide/MonksDown.pdf
Moorfoots,
Morrone,
Moruisg,
Morvah,
Morven,
Moughton Scar,
Mount Benger,http://www.wingbeat-paragliding.co.uk/index.php/sites/mountbenger
Mount Caburn,https://shgc.org.uk/siteguidepdf
Much Marcle,http://www.joomla.malvern-hang.org.uk/index.php/main-much-marcle
Mundesley,
Murton Pike,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=MTP
Mynydd Llysiau,
Mynydd Meio,
Myreton,
Na Cnapanan,
Nant Gwrtheywn,https://www.snowdoniaskysports.co.uk/cms/node/24
Nant Y Moel,
Nevis Range,
Newburgh,
Newhaven,https://shgc.org.uk/siteguidepdf
Nont Sarahs,http://www.penninesoaringclub.org.uk/sites/nont-sarahs/
North Hill,
North Molton,https://ndhpc.co.uk/contact_us
Nr Dolgarrog,
Old Bewick,
Pandy,
Panorama,
Park Fell,"Training site, contact Active Edge before flying https://www.activeedge.co.uk/"
Parlick,http://www.penninesoaringclub.org.uk/sites/parlick/
Pen Cerrig Calch,
Pen Dinas,
Pendle,http://www.penninesoaringclub.org.uk/sites/pendle/
Pendle East,
Penmaenbach,https://www.snowdoniaskysports.co.uk/cms/node/23
Penycloddiau,
Penyghent,
Pinnacle Hill,
Polhawn,
Pontlottyn,
Portland East,
Pressendye,
Primrose Valley,
Quinag,
Quiraing,
Radar Masts,
Rebecca,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=RBA
Red Pike,
Red Screes,
Reighton,
Rhigos,
Rhiw Wen,
Rhossili,
Ringstead,
Roaches,
Robinson,
Roel Gate,
Roel Gate Nr Charlton Abbotts,
Rosemarkie Tower,
Rushup,
Rutland Airsports,https://rutlandairsport.wordpress.com/site-guide/
Rybury,https://www.tvhgc.co.uk/rybury
Saddle Yoke,
Saltburn,
Sandymouth,
Sarn,
Scales Fell,
Schiehallion,
Seat Sandal,
Selsley,http://www.avonhgpg.co.uk/sites/sites.php
Semer Water,https://www.dhpc.org.uk/site-guide/semer-water
Seven Sisters,
Sgor Gaoithe,
Sgurr An Airgid,
Sgurr An Fhuarail,
Sgurr Finniosgaig,
Sgurr Na Feartaig,
Sharpenhoe,https://dunstablehpc.com/site-guides/sharpenhoe-site-guide/
Shining Tor,
Sidmouth,
